CaseID,Amount,FailureReason,SuccessfulPayments,FailedPayments,Attempts,ExpectedAction,AIAction,FinalAction,ExpectedRisk,AIRisk,PolicyApproved,ExpectedOutcome,ActualOutcome
"eval_case_1",1019,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_2",1039,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_3",1059,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_4",1079,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_5",1099,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_6",1119,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_7",1139,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_8",1159,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_9",1179,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_10",1199,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_11",1219,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_12",1239,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_13",1259,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_14",1279,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_15",1299,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_16",1319,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_17",1339,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_18",1359,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_19",1379,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_20",1399,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_21",1419,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_22",1439,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_23",1459,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_24",1479,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
